run,path,n,success,cc_checks,num_samples,time,memory,t_sample_cnt,jvm
prm_run_1,0,2,True,4877,98,9.446167230606079,31.2279039999994,87,0.32684965487417744
prm_run_1,1,2,True,4789,96,8.637479543685913,30.044160000000375,91,0.1480666634164559
prm_run_1,2,2,True,3929,94,7.2555811405181885,27.07456000000002,58,0.13464807571062215
prm_run_1,3,2,True,4009,96,7.30987811088562,25.169920000000275,72,0.31987129580145274
prm_run_1,4,3,True,1885,98,3.544583797454834,12.705791999999747,43,0.5990870316604573
prm_run_1,5,2,True,1952,96,3.762641668319702,13.905920000000151,36,0.03013543260448668
prm_run_1,6,2,True,4761,98,9.154056787490845,31.35897599999953,64,0.25421167298971103
prm_run_1,7,2,True,2029,98,3.9215338230133057,14.331904000000577,31,0.01941705634045027
prm_run_1,8,2,True,1960,98,3.5086617469787598,12.115967999999157,57,2.690597701448044
prm_run_1,9,2,True,1971,90,3.3650808334350586,14.475264000000607,62,0.025455725778041928
prm_run_1,10,2,True,1989,94,3.5034735202789307,12.89830399999937,54,0.025353340179759508
prm_run_1,11,2,True,4563,94,8.050081014633179,28.286976000000323,97,0.6594149777075136
prm_run_1,12,2,True,2047,98,3.8357467651367188,14.254079999999703,35,0.025308376099397397
prm_run_1,13,2,True,2197,94,3.4482922554016113,12.992512000000715,87,1.564967906003879
prm_run_2,0,3,True,28436,918,49.26413416862488,176.75059199999941,852,0.07676050108584774
prm_run_2,1,3,True,28774,910,49.74546933174133,184.9344000000001,823,0.0802288581465936
prm_run_2,2,3,True,29632,908,54.5047402381897,208.0808960000004,626,0.07949885475666608
prm_run_2,3,3,True,30332,906,55.94901514053345,207.5893759999999,617,0.06473305757031096
prm_run_2,4,2,True,17221,902,30.720999240875244,114.55692799999997,526,0.015165283335687573
prm_run_2,5,2,True,17876,904,34.53910994529724,126.87769599999956,297,0.018870103339242328
prm_run_2,6,3,True,30861,900,55.93056774139404,205.65196800000012,723,0.10470875206759932
prm_run_2,7,2,True,18109,910,34.78976082801819,124.3750399999999,293,0.019063656906197164
prm_run_2,8,2,True,17561,902,31.86241388320923,116.47385600000052,552,0.011885000072894194
prm_run_2,9,2,True,19822,902,31.1445209980011,116.43289599999935,818,0.0080967834691313
prm_run_2,10,2,True,19548,902,35.21190571784973,132.8988160000008,469,0.021051684274664334
prm_run_2,11,2,True,34346,900,57.78947067260742,212.4267519999994,965,0.0856311510751468
prm_run_2,12,2,True,19074,900,34.61108374595642,127.08249599999999,443,0.022100798189344087
prm_run_2,13,2,True,20226,900,31.59961223602295,119.76704000000063,855,0.00890310811447636
grid_run_1,0,15,True,44532,1496,24.289313077926636,201.21600000000035,6480,0.0686592102211828
grid_run_1,1,15,True,44448,1468,23.531545877456665,103.59603199999947,6480,0.06902444951037628
grid_run_1,2,15,True,39136,3230,33.44465112686157,180.28543999999965,6480,0.06670407143949868
grid_run_1,3,15,True,39404,4616,32.618488788604736,183.25504,6480,0.06641583812366658
grid_run_1,4,5,True,13044,840,9.19964051246643,35.61472000000049,2160,0.0038983408143010417
grid_run_1,5,5,True,13488,1048,10.779463529586792,58.76531199999954,2160,0.00463001098257106
grid_run_1,6,15,True,40848,1392,25.714182376861572,139.75961600000028,6480,0.04575178363929654
grid_run_1,7,5,True,13488,1048,11.323786497116089,64.51199999999972,2160,0.004630010982571058
grid_run_1,8,5,True,13044,840,9.63021206855774,36.97868800000015,2160,0.0038983408143010447
grid_run_1,9,5,True,16324,964,11.068982362747192,51.93318400000044,2160,0.00509107760881365
grid_run_1,10,5,True,17008,1114,14.50886082649231,75.5834879999993,2160,0.004965784990278663
grid_run_1,11,15,True,51840,3012,30.64186668395996,158.2120960000002,6480,0.058942961118820324
grid_run_1,12,5,True,17008,1170,13.159031867980957,45.22393600000032,2160,0.004965784990278672
grid_run_1,13,5,True,16324,1222,10.964289426803589,62.98828799999956,2160,0.005091077608813641
